"crime_code","victim_age"
110,37
113,33
121,28
122,33
210,37
220,39
230,38
231,32
235,12
236,34
237,8
250,31
251,41
310,46
320,47
330,38
331,43
341,41
343,34
345,41
347,59
350,41
351,45
352,34
353,39
354,41
410,41
420,42
421,45
432,58
433,39
434,34
435,53
436,37
437,31
438,32
439,38
440,40
441,42
442,31
443,35
444,42
445,60
446,42
450,42
451,45
452,45
470,38
471,36
473,50
474,39
475,45
480,36
485,46
510,41
520,44
522,34
622,37
623,32
624,41
625,41
626,35
627,12
647,39
648,45
649,52
651,44
652,45
653,44
654,42
660,41
661,43
662,47
664,41
666,47
668,36
670,39
740,41
745,43
753,35
755,38
756,35
760,13
761,39
762,36
763,36
805,23
806,28
810,16
812,11
813,13
814,26
815,27
820,26
821,29
822,17
830,29
840,42
845,32
850,36
860,31
865,22
870,11
880,36
886,44
888,45
890,24
900,43
901,43
902,44
903,42
904,39
906,38
910,30
920,22
921,23
922,33
924,42
928,37
930,40
931,29
932,32
933,45
940,34
942,31
943,38
944,35
946,39
948,34
949,46
950,41
951,44
954,15
956,37
